customer_id,email,transaction_amount,transaction_date,billing_city,shipping_city,current_city,device_type,is_new_device,ip_address,cvv_attempts,average_previous_amounts,fraudulent
NEW_CUSTOMER_99801,emcdonald@example.com,54428.83,2023-02-15,Indore,Visakhapatnam,Ahmedabad,high_end_phone,False,proxy-ip,3,0,False
NEW_CUSTOMER_72998,tpugh@example.org,72047.5,2023-03-26,Surat,Chennai,Ahmedabad,high_end_tablet,True,proxy-ip,2,0,False
NEW_CUSTOMER_59172,brandiharrell@example.net,67530.1,2023-12-29,Vadodara,Ahmedabad,Visakhapatnam,low_end_laptop,False,208.63.114.193,3,0,False
NEW_CUSTOMER_48961,austinnatasha@example.net,91482.68,2023-08-05,Vadodara,Pune,Bangalore,low_end_phone,True,61.230.173.38,3,0,False
NEW_CUSTOMER_57178,watkinsrobert@example.org,658.13,2023-04-10,Mumbai,Thrissur,Kolkata,low_end_tablet,True,proxy-ip,3,0,False
NEW_CUSTOMER_13343,oscarwoods@example.com,46607.16,2024-02-25,Hyderabad,Indore,Thrissur,high_end_laptop,True,117.111.68.197,2,0,False
NEW_CUSTOMER_27144,ngalvan@example.org,589.81,2023-11-27,Mumbai,Lucknow,Jaipur,low_end_laptop,False,2.44.113.211,3,0,False
NEW_CUSTOMER_83423,anthonysims@example.com,43746.87,2023-03-08,Surat,Ahmedabad,Jaipur,low_end_phone,True,proxy-ip,3,0,False
NEW_CUSTOMER_12207,taylorelizabeth@example.com,92685.92,2024-02-05,Thrissur,Ahmedabad,Delhi,high_end_tablet,False,proxy-ip,4,0,False
NEW_CUSTOMER_11501,nicholas50@example.org,16565.54,2024-01-06,Lucknow,Thrissur,Surat,high_end_laptop,False,proxy-ip,3,0,False
NEW_CUSTOMER_56602,heatherturner@example.org,94929.41,2023-05-24,Pune,Coimbatore,Lucknow,low_end_laptop,False,proxy-ip,5,0,True
NEW_CUSTOMER_60212,richard25@example.org,73416.49,2023-05-03,Coimbatore,Hyderabad,Indore,low_end_laptop,True,proxy-ip,0,0,False
NEW_CUSTOMER_72923,jenniferjohnson@example.org,58475.12,2024-03-01,Lucknow,Hyderabad,Pune,low_end_laptop,True,proxy-ip,3,0,False
NEW_CUSTOMER_47013,fespinoza@example.org,61403.5,2024-01-07,Chennai,Visakhapatnam,Surat,low_end_phone,True,proxy-ip,3,0,False
NEW_CUSTOMER_45992,goodmandale@example.org,83987.07,2023-06-28,Hyderabad,Chennai,Coimbatore,high_end_laptop,False,proxy-ip,3,0,False
NEW_CUSTOMER_64056,lsanders@example.org,20596.03,2024-03-19,Coimbatore,Bangalore,Kanpur,low_end_tablet,True,proxy-ip,0,0,False
NEW_CUSTOMER_61147,aaronmclean@example.org,98292.65,2023-12-24,Visakhapatnam,Bangalore,Delhi,high_end_tablet,True,proxy-ip,3,0,False
NEW_CUSTOMER_56056,daniel28@example.com,3889.01,2024-01-29,Ahmedabad,Indore,Kanpur,low_end_laptop,False,proxy-ip,3,0,False
NEW_CUSTOMER_21185,nicole75@example.com,48259.59,2023-05-20,Thrissur,Kanpur,Indore,high_end_tablet,True,proxy-ip,2,0,False
NEW_CUSTOMER_17187,jonathan26@example.net,83500.01,2023-03-20,Indore,Indore,Bangalore,high_end_phone,False,proxy-ip,6,0,False
NEW_CUSTOMER_47816,ccobb@example.org,12055.65,2024-01-04,Kolkata,Hyderabad,Jaipur,low_end_laptop,False,34.232.218.197,3,0,False
NEW_CUSTOMER_34246,kristen00@example.net,24137.8,2023-08-27,Pune,Thrissur,Lucknow,high_end_phone,True,proxy-ip,3,0,False
NEW_CUSTOMER_95381,kwest@example.org,60591.32,2023-11-07,Hyderabad,Hyderabad,Ahmedabad,high_end_tablet,False,proxy-ip,3,0,False
NEW_CUSTOMER_65561,kennethmccoy@example.net,31222.77,2023-07-12,Jaipur,Kanpur,Indore,low_end_tablet,False,proxy-ip,3,0,False
NEW_CUSTOMER_65539,etorres@example.net,58012.06,2023-05-14,Bhopal,Ahmedabad,Delhi,low_end_laptop,True,proxy-ip,3,0,False
NEW_CUSTOMER_65284,ifry@example.org,58614.41,2023-12-05,Bangalore,Surat,Jaipur,low_end_tablet,False,228.13.177.20,3,0,False
NEW_CUSTOMER_93700,smithadam@example.org,70671.79,2023-09-18,Chennai,Jaipur,Indore,high_end_laptop,False,86.27.110.221,3,0,False
NEW_CUSTOMER_20527,lmurray@example.net,81508.88,2023-11-17,Kolkata,Mumbai,Thrissur,low_end_tablet,False,proxy-ip,4,0,True
NEW_CUSTOMER_18829,marissa95@example.com,14251.06,2023-01-28,Surat,Ahmedabad,Thrissur,high_end_tablet,False,proxy-ip,3,0,False
NEW_CUSTOMER_42797,stephaniereynolds@example.net,56972.63,2023-11-01,Pune,Indore,Pune,low_end_phone,False,proxy-ip,3,0,False
NEW_CUSTOMER_63825,ocoffey@example.org,21825.32,2023-01-30,Thrissur,Chennai,Delhi,low_end_laptop,False,157.239.6.52,3,0,False
NEW_CUSTOMER_92473,susanperez@example.org,2669.4,2023-04-03,Vadodara,Indore,Kolkata,high_end_laptop,True,proxy-ip,1,0,False
